id,drug_name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2
442,ab2 kit,Festone Combi Kit,Dismis MM Kit,Safe Abort Kit,Penetrex Knot Tablet,Mifty Kit,Nausea,Vomiting,Diarrhea
443,amitryn 10 tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
444,atarax 25mg injection,,,,,,Sedation,Nausea,Vomiting
445,afoglip m  500 tablet er,Teneliglip-M 500 Tablet ER,Tenipack M Tablet ER,Tenlicure M 500 Tablet ER,Tenemerze M 500mg/20mg Tablet ER,Tenali M 500 Tablet ER,Hypoglycemia (low blood glucose level),Nausea,Vomiting
446,amlozaar tablet,LTK-AM Tablet,Amcard-LP Tablet,Z-Sar-A Tablet,Zilos-AM Tablet,Neopress AM 50mg/5mg Tablet,Sleepiness,Ankle swelling,Headache
447,abel 40 tablet,Azilura 40 Tablet,Zilarta 40 Tablet,Nexsart 40 Tablet,Azildac 40 Tablet,Altoran 40 Tablet,Dizziness,Muscle damage,Diarrhea
448,acolate plus tablet,Leforin PP Tablet,Cybercold 5mg/5mg/500mg Tablet,Alicare Plus Tablet,Codolin 5mg/5mg/500mg Tablet,Fenty Cold 5mg/5mg/500mg Tablet,Vomiting,Dryness in mouth,Headache
449,ampilox ds tablet,,,,,,Rash,Vomiting,Allergic reaction
450,asthalin rotacaps,,,,,,Tachycardia,Tremors,Headache
451,asthalin dx syrup,Bronkolyte DC Syrup,Fluoffd Syrup,Kosat D Syrup,Brozine D Plus Syrup,Ezycuf-D Syrup,Nausea,Vomiting,Loss of appetite
452,asthalin rotacaps,,,,,,Tachycardia,Tremors,Headache
453,atorlip 20 tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Orvas 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Dyspepsia,Abdominal pain,Indigestion
454,altacef 500 tablet,Cefoxim 500 Tablet,Zefu 500 Tablet,Bigcef 500 Tablet,Cefakind 500 Tablet,Pulmocef 500 Tablet,Rash,Vomiting,Allergic reaction
455,amlokind 2.5 tablet,Amvasc 2.5mg Tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlip 2.5 Tablet,Amlong 2.5 Tablet,Headache,Fatigue,Nausea
456,ambistryn-s 0.75gm injection,,,,,,Skin rash,Vomiting,Fever
457,ambulax-et tablet,Etidac P 0.5mg/20mg Tablet,Etipro Tablet,Etilax P 0.5mg/20mg Tablet,Ritebenz Beta 0.5mg/20mg Tablet,Betapro-ET Tablet,Confusion,Memory impairment,Drowsiness
458,acceclowoc-p tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
459,alprax forte 0.5 mg/50 mg tablet,Mares Plus 0.5mg/50mg Tablet,Restyl Forte 0.5 mg/50 mg Tablet,Alzy Plus 0.5mg/50mg Tablet,Altawin S 0.5mg/50mg Tablet,Alzex Forte 0.5 mg/50 mg Tablet,Nausea,Vomiting,Diarrhea
460,alsita-m 100 tablet er,Macsita-MXR 100/500 Tablet,SitaOD MSR 100/500 Tablet,Sitawok M XR 500 Tablet,Istamet  XR 500 Tablet,Sitared-M XR100/500 Tablet,Hypoglycemia (low blood glucose level),Nausea,Vomiting
461,axogurd nt tablet sr,Nervotop Tablet SR,Pregahart NT 75mg/10mg Tablet SR,Methypro-NT Tablet SR,Novomine N 75mg/10mg Tablet SR,Preganut-N Tablet SR,Constipation,Difficulty in urination,Weight gain
462,aclind bp 2.5% gel,Clinroz-BP 2.5% Gel,Duoclin-B Gel,Tyret B 1% Gel,Clin Bpo Gel,Decomedo Gel,Erythema (skin redness),Skin peeling,Dryness
463,anxiset 0.5 tablet,Sanxit 0.5mg Tablet,Xentas 0.5mg Tablet,Spenzo 0.5 Tablet,Xolybex 0.5mg Tablet,Flp 0.5mg Tablet,Sleepiness,Orthostatic hypotension (sudden lowering of blood pressure on standing),Dryness in mouth
464,atonide-h cream,Locort Cream,Sorias Cream,Urea HC Cream,Delster Cream,Drocort Cream,"Application site reactions (burning, irritation, itching and redness)",,
465,aldonil tablet,Aristat 50mg Tablet,Eparel 50 Tablet,Aldorace 50mg Tablet,Nurestat 50mg Tablet,Epalridase 50mg Tablet,Nausea,Vomiting,Abnormal liver function
466,anticold  tablet,Sino Tablet,Ephiros Tablet,,,,Vomiting,Headache,Restlessness
467,alcros 100 capsule,Itralase 100 Capsule,Canditral 100 Capsule,Syntran Capsule,Itrafree 100mg Capsule,Itromed 100 Capsule,Nausea,Common cold,Cough
468,azibact 200 readymix oral suspension,Zythro 200mg Oral Suspension,Azimox 200mg Oral Suspension,Azimcin 200mg Oral Suspension,Uber 200 Oral Suspension,Aziitech 200mg Oral Suspension,Vomiting,Nausea,Abdominal pain
469,atchol 20 tablet,Lipikind 20 Tablet,Orvas 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Lipvas 20 Tablet,Dyspepsia,Abdominal pain,Indigestion
470,azibest 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
471,amoxy 500mg capsule,Tormoxin 500mg Capsule,Cipmox 500 Capsule,Tidoxyl 500mg Capsule,Actimox 500mg Capsule,SB Mox 500mg Capsule,Rash,Vomiting,Allergic reaction
472,a-ret 0.05% gel,Trion Gel,Retop-A 0.05% Gel,Truoin Gel,,,Erythema (skin redness),Skin irritation,Dry skin
473,adenosine 3mg injection,Adenoject 3mg Injection,Adenocor 3mg Injection,Adnet 3mg Injection,,,"Flushing (sense of warmth in the face, ears, neck and trunk)",Dizziness,Lightheadedness
474,ascoril plus tablet,Oripect Tablet,Brethex 100mg/2.5mg/8mg Tablet,Pulmo Rest S 100 mg/2.5 mg/8 mg Tablet,Rex Tablet,Mahaq 100 mg/2.5 mg/8 mg Tablet,Nausea,Diarrhea,Bloating
475,azulix 2 mf forte tablet pr,Glimiprex MF Forte 2 Tablet PR,Glimestar-M2 Forte Tablet PR,Geminor M2 Forte Tablet PR,Glimisave M2 Forte Tablet PR,Glimisave Max Forte 2 Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea
476,amlokind-h tablet,Amoline H 5mg/12.5mg Tablet,Amvio H 5 mg/12.5 mg Tablet,L Core 5 mg/12.5 mg Tablet,AMLOCAD-H 5MG/12.5MG TABLET,Amleod H 5mg/12.5mg Tablet,Glucose intolerance,Sleepiness,Ankle swelling
477,aziderm 10% gel,Zebor Gel,Acnerus AZ 10% Gel,Ezanic 10% Gel,,,"Application site reactions (burning, irritation, itching and redness)",,
478,amlopin-m tablet pr,Gudpres-AM 50 Tablet PR,Protol-AM Tablet PR,Amlodac M Tablet PR,Amlovas XM  5/50 Tablet PR,Prolomet AM 50 Tablet PR,Nausea,Slow heart rate,Abdominal pain
479,ascodex junior syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Ascoril D Junior Cough Syrup,Nausea,Vomiting,Loss of appetite
480,alevo 500 tablet,Nirliv 500mg Tablet,Levocef 500mg Tablet,Levoshan 500mg Tablet,Lek 500mg Tablet,Qulef 500mg Tablet,Headache,Dizziness,Nausea
481,avanair 200 tablet,Avanext 200 Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose)
482,atorlip 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Dyspepsia,Abdominal pain,Indigestion
483,anafortan-mf 50mg/250mg tablet,Bigspas M 50mg/250mg Tablet,Spasmonorm M Tablet,,,,Nausea,Vomiting,Dryness in mouth
484,amitriptyline hcl 25mg tablet,Amidep 25mg Tablet,Amitril 25mg Tablet,Amitar 25mg Tablet,Latilin 25mg Tablet,Amiford 25mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing)
485,aqsusten  25 solution for injection,,,,,,Hot flushes,,
486,amicet 5 mg/60 mg tablet,Fedcet-A Tablet,Luzer-A 5mg/60mg Tablet,Mzic D 5mg/60mg Tablet,Lzitop A 5mg/60mg Tablet,Arileev-AM 5mg/60mg Tablet,Upset stomach,Dryness in mouth,Headache
487,amrox junior syrup,Lecof A Syrup,Rithmax BM Syrup,Kufril Syrup,Kind X Syrup,Bronkolyte PD Syrup,Excessive salivation,Fatigue,Paresthesia (tingling or pricking sensation)
488,atm 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
489,anawin heavy 5mg injection,Bupizuva Heavy 5mg Injection,Bupifix-H Injection,Relicane 5mg Injection,Bupivaine 5mg Injection,Bipivac 5mg Injection,Nausea,Vomiting,Paresthesia (tingling or pricking sensation)
490,adaple-c gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnesol A Nano Gel,Skin peeling,Erythema (skin redness),Itching
491,aravon injection,Carevon 1.5mg Injection,Fraseda 1.5mg Injection,Ezycut 1.5mg Injection,Edarkos 1.5mg Injection,Edinova 1.5mg Injection,Bruise,Walking difficulties,Headache
492,akilos-sp tablet,Octace Plus Tablet,Anzifen SP Tablet,Mitigate SP Tablet,Petace S 100mg/500mg/15mg Tablet,Starnac Plus 100mg/500mg/15mg Tablet,Nausea,Vomiting,Stomach pain
493,amlozaar-h tablet,Adblock LH 50mg/5mg/12.5mg Tablet,Resitan Amh Tablet,Amlonis H Tablet,Amlosar H 50mg/5mg/12.5mg Tablet,Tri Losacar Tablet,Ankle swelling,Headache,Dizziness
494,alight plus gel,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnesol A Nano Gel,Acnicin Gel,Skin peeling,Erythema (skin redness),Itching
495,anaspas 25mg injection,Bigspas-D 25mg/25mg Injection,Spasmonorm Injection,,,,Nausea,Vomiting,Heartburn
496,azibact lr 100 readymix,Infurox 100mg Oral Suspension,Ibithral 100 Rediuse Oral Suspension,Zithro Oral Suspension,Azilide 100 RediMed Oral Suspension,Azikem 100mg/5ml Oral Suspension,Vomiting,Nausea,Abdominal pain
497,aquazide 25 tablet,Xenia 25mg Tablet,Hydrazide 25 Tablet,Thiazide 25mg Tablet,Bpzide 25mg Tablet,Hydride 25mg Tablet,Headache,Nausea,Altered blood lipid level
498,amlodac 2.5 tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Amlong 2.5 Tablet,Headache,Fatigue,Nausea
499,amoxclav 500 mg/125 mg tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea
500,amplinak opthalmic suspension,Nepacin Eye Drop,Esnac Eye Drop,Nepastar Eye Drop,Micronac PF Eye Drop,Nepcinac Eye Drop,Decreased vision,Foreign body sensation in eyes,Increased intraocular pressure
501,aplevant 1.5mg pre-filled pen (0.5ml each),,,,,,Nausea,Diarrhea,Vomiting
502,ambrodil-xp syrup,Resebron Syrup,Acelast 50mg/5ml Syrup,Acaster 50mg Syrup,Acebrolin 50mg/5ml Syrup,Phyllin-AC 50mg Syrup,Nausea,Headache,Vomiting
503,arvast 10 tablet,Fortius 10 Tablet,Unizuva 10mg Tablet,Lipirose 10 Tablet,Consivas 10 Tablet,Jupiros 10 Tablet,Muscle pain,Weakness,Headache
504,ascoril flu drops,Belrin Oral Drops,Tricold Oral Drops,Cinaryl-AF Oral Drops,Alerfri AF Oral Drops,Entimin Oral Drops,Vomiting,Headache,Restlessness
505,atharv healthcare minrav 5 minoxidil 5% topical solution,Minoxil 5% Solution,Tinfal Solution,Minoxy 5% Solution,Rootz-M5 Solution,MNX 5 Solution,Itching,Chest pain,Headache
506,amoxyclav oral suspension,Goldclav Oral Suspension,Moxiclip Dry Syrup,Tervis DS Oral Suspension,Bestomax Dry Syrup,Amoxyril-CV Dry Syrup,Nausea,Vomiting,Abdominal pain
507,ata mont 20mg/10mg tablet,Aeromont-B Tablet,Bilamont Tablet,Drownil M Tablet,Maxstine M 20mg/10mg Tablet,Bilkwik M Tablet,Limited data available,,
508,acimol 100 mg/325 mg tablet,Dolostat PC 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Acenext P 100mg/325mg Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
509,antidep 25mg tablet,Impramine 25mg Tablet,Eldep 25mg Tablet,Deprid 25mg Tablet,Depranil 25mg Tablet,Kidep 25mg Tablet,Gastrointestinal disturbance,Nervousness,Sleep disorder
510,artificial tears bp eye drop,AT Plus Artificial Tears,Lacryl Eye Drop,Cmph Eye Drop,Procel 0.3% Eye Drop,Otears 0.3% Eye Drop,Blurred vision,Eye irritation,Eye pain
511,almox 250 mg tablet dt,Mokcan 250mg Tablet DT,Amurol 250mg Tablet DT,Lupimox 250mg Tablet DT,Moxipil 250mg Tablet DT,Amoxil 250mg Tablet DT,Rash,Vomiting,Allergic reaction
512,azicip 250 tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Zerox 250 Tablet,Vomiting,Nausea,Abdominal pain
513,augpen hs 200 mg/28.5 mg suspension,Moxifide CV 200mg/28.5mg Suspension,AC Duo DS Suspension,Bilclav Duo 200 mg/28.5 mg Suspension,Symbiotik XL Suspension,Zoxil CV 200mg/28.5mg Suspension,Nausea,Vomiting,Abdominal pain
514,anfoe 10000iu injection,Ceriton Epo 10000IU Injection,Relipoietin 10000IU Injection,Espogen 10000IU Injection,Wepox 10000IU Injection,Rpo 10000IU Injection,High blood pressure,Nausea,Vomiting
515,acnovate gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnesol A Nano Gel,Skin peeling,Erythema (skin redness),Itching
516,ampoxin 250 capsule,Duoclox 125 mg/125 mg Capsule,Empic 125mg/125mg Capsule,Tobiotic 125mg/125mg Capsule,Wilclox 125mg/125mg Capsule,Syncocin 125mg/125mg Capsule,Nausea,Vomiting,Diarrhea
517,azibact lr readymix 200,Azam 200 Oral Suspension,Spazit Suspension,Azimox 200mg Oral Suspension,Uber 200 Oral Suspension,Azee 200mg Dry Syrup,Vomiting,Nausea,Abdominal pain
518,avanext 100mg tablet,Avanair 100 Tablet,,,,,Headache,"Flushing (sense of warmth in the face, ears, neck and trunk)",Nasal congestion (stuffy nose)
519,anti-thyrox 10 tablet,Thyrodip 10mg Tablet,Carmazole 10mg Tablet,Carkozom 10 Tablet,Sterzole 10 Tablet,Thyrosim 10mg Tablet,Nausea,Headache,Joint pain
520,aztor 80 tablet,Atorsave 80 Tablet,Jubicad 80mg Tablet,Statix 80mg Tablet,Dispitor 80mg Tablet,Modlip 80mg Tablet,Dyspepsia,Abdominal pain,Indigestion
521,akair lc tablet,Montina-L Tablet,Lecope-M Tablet,Monticope Tablet,Levocet M Tablet,Ronycold-M Tablet,Nausea,Diarrhea,Dryness in mouth
522,astymin-sn infusion,,,,,,No common side effects seen,,
523,asprito 2 tablet,Aripaso 2mg Tablet,Arip MT 2 Tablet,Apz 2mg Tablet,Arpizol 2mg Tablet,,Akathisia (inability to stay still),Anxiety,Blurred vision
524,asomex-at tablet,Samloday A 2.5 mg/50 mg Tablet,Amlomed AT 2.5 mg/50 mg Tablet,Samlokind-AT Tablet,Esdil AT 2.5mg/50mg Tablet,Samlodon AT 2.5mg/50mg Tablet,Sleepiness,Headache,Ankle swelling
525,anabel-ct gel,Ulsore Gel,Ulcerfree Gel,Mugel Freshora Gel,Orogard SG Gel,Mosiba Gel,No common side effects seen,,
526,amlovas 2.5 tablet,Amvasc 2.5mg Tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Headache,Fatigue,Nausea
527,amlovas h  tablet,Amoline H 5mg/12.5mg Tablet,Amvio H 5 mg/12.5 mg Tablet,L Core 5 mg/12.5 mg Tablet,Amlokind-H Tablet,AMLOCAD-H 5MG/12.5MG TABLET,Glucose intolerance,Sleepiness,Ankle swelling
528,amodep 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
529,acidose 500mg tablet,Udosis 500mg Tablet,Nodosis Tablet,Audosis Tablet,Sodinor 500mg Tablet,Sobiren 500mg Tablet,Stomach cramp,Flatulence,
530,ab-next gel,Pernex-Plus Gel,Adapure Gel,Proxaid Gel,Abzit Gel,Acrobenz A Gel,Erythema (skin redness),Burning sensation,Scaling
531,actapro tablet,Acosat 100mg Tablet,Dycotiam Tablet,Tocamide Tablet,Acogut Tablet,Acotrust  Tablet,Headache,Diarrhea,
532,avas 20 tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Orvas 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Dyspepsia,Abdominal pain,Indigestion
533,aqua ear drop,Otidrop Ear Drop,Ocotic Ear Drop,P-Cure Ear Drop,Otiden Ear Drop,Early Ear Drop,"Application site reactions (burning, irritation, itching and redness)",,
534,arflur-p tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Acenext P 100mg/325mg Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain
535,acnesol 1% solution,Erytop Lotion,Corclin Lotion,Clinch Lotion,Clivazit 1% Lotion,,"Application site reactions (burning, irritation, itching and redness)",Skin rash,Stomach pain
536,antiflu 12mg/ml syrup,Mcosvir Syrup,,,,,Nausea,Vomiting,Abdominal pain
537,asiclopam tablet,Joycom Plus 0.5 mg/10 mg Tablet,Essita Plus Tablet,Galop Plus 10 Tablet,Censpram Plus Tablet,Feliz S Plus Tablet,Delayed ejaculation,Confusion,Vomiting
538,atorlip gold 20 capsule,Avas Gold 75mg/20mg/75mg Capsule,Lipitab Gold 20 Capsule,Atorfit CV Gold 20 Capsule,Lipikind-Plus 20 Capsule,Atorva Gold 20 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
539,amrox-ls junior syrup,AG-LS Junior Syrup,Ampropil LS Syrup,Fleetus-PD Syrup,Cufiset LS Junior Syrup,Cuflift-LS Junior Syrup,Bronchitis (inflammation of the airways),Dizziness,Vomiting
540,alcarex eye drop,Altadine Eye Drop,Caftadine Eye Drop,,,,Eye irritation,Itching,Stinging in the eyes
541,amantex tablet,Comantrel-T Tablet,Manotrel 100mg Tablet,Amantrel Tablet,Parkitidin Tablet,,Nausea,Dryness in mouth,Constipation
542,acenac tablet,Topnac 100mg Tablet,Topflam 100mg Tablet,Acicloflex 100mg Tablet,Acenal 100mg Tablet,Safronac 100mg Tablet,Vomiting,Stomach pain/epigastric pain,Nausea
543,adapen gel,Alene Gel,Adaple 0.1% Gel,Acfree Gel,Vandep 0.1% Gel,Admark Gel,Erythema (skin redness),Dry skin,Skin peeling
544,almefkem spas 10mg/250mg tablet,Spasmonil Plus Tablet,Spastone Tablet,Anglospas Forte 10 mg/250 mg Tablet,Mefnic 10mg/250mg Tablet,Colimex MF Tablet,Dizziness,Dryness in mouth,Blurred vision
545,atonide cream,Desostar 0.05% Cream,Desomod Cream,Desova Cream,Desomag Cream,Dermanide Cream,"Application site reactions (burning, irritation, itching and redness)",Rash,
546,amcard 5 tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amlong Tablet,Camlodip 5mg Tablet,Headache,Fatigue,Nausea
547,avene (abbott) 0.5mg/10mg tablet,Clotas Plus H 0.5mg/10mg Tablet,Clonax-Plus Tablet,Nuro Beta Plus 0.5mg/10mg Tablet,,,Confusion,Memory impairment,Drowsiness
548,albutamol neo syrup,Vent PD 50mg/1mg Syrup,Tricos PD Syrup,,,,Nausea,Vomiting,Restlessness
549,atchol-asp capsule,Liponorm-Asp Capsule,Zivast ASP 10 Capsule,Lipicure-AS 75 Capsule,Atorlip-ASP 10 Capsule,Atorec-ASP Capsule,Abdominal pain,Constipation,Flatulence
550,arbitel-h tablet,Xstan-H Tablet,Telmitop HC 40 mg/12.5 mg Tablet,Telozit H 40mg/12.5mg Tablet,Telvas H 40/12.5 Tablet,Telirap H 40mg/12.5mg Tablet,Fatigue,Dizziness,Nausea
551,aziderm 15% gel,Picspot Gel,,,,,"Application site reactions (burning, irritation, itching and redness)",,
552,axcer  60mg tablet,Brigrel 60mg Tablet,Tigemac 60mg Tablet,Ticavic 60 Tablet,Torplat 60 Tablet,Ticaplat 60mg Tablet,Bleeding,Breathlessness,
553,abiways-m tablet sr,Venphylin-M Tablet SR,Muciday Tablet SR,Acebrofact-M Tablet SR,Oxybro Plus Tablet SR,Acphy M 200mg/10mg Tablet SR,Vomiting,Heartburn,Stomach pain
554,astymin-3  10mg/8mg infusion,,,,,,No common side effects seen,,
555,amlopres l tablet,Etopres LP 5 mg/5 mg Tablet,Listril AM Tablet,Aamin L 5mg/5mg Tablet,Aldo L Tablet,Acedip Tablet,Ankle swelling,Headache,Tiredness
556,amifru plus tablet,Torfree AL 10mg/5mg Tablet,,,,,Headache,Dizziness,Metabolic alkalosis
557,armotraz tablet,Aromita Tablet,Femistra Tablet,Anastronat 1mg Tablet,Femitraz Tablet,Elinal  Tablet,Hot flashes,Nausea,Osteoporosis
558,aldigesic th 100mg/4mg tablet,Bignac-MR 4 Tablet,Neorelax A 4mg Tablet,Thioquest A 100 mg/4 mg Tablet,Canace-TH4 Tablet,Thichoren AC 4 Tablet,Nausea,Vomiting,Heartburn
559,abixim 200mg tablet,Cefilab 200 Tablet,Cefix 200 Tablet,Mahacef 200 Tablet,Cefi 200 Tablet,Ceftas 200 Tablet,Nausea,Stomach pain,Indigestion
560,arbitel-mt 50 tablet er,Xstan Beta 50 Tablet ER,Telmikind Beta 50 Tablet ER,Telvas Beta 50 Tablet ER,Macsart Beta 50 Tablet ER,Tel-Revelol 40/50 Tablet ER,Headache,Weakness,Dizziness
561,aziderm 20% gel,Zebor 20% Gel,Acnerus AZ 20% Gel,Ezanic 20% Gel,,,"Application site reactions (burning, irritation, itching and redness)",,
562,amiject 500mg injection,Megamika 500mg Injection,Amilab 500mg Injection,Acil 500mg Injection,Emica 500mg Injection,Mika Best 500mg Injection,Increased blood urea,"Injection site reactions (pain, swelling, redness)",
563,azikem 250mg tablet,Azicip 250 Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Zerox 250 Tablet,Vomiting,Nausea,Abdominal pain
564,aten-d tablet,Atekind D 50mg/2.5mg Tablet,Atelol D 50mg/2.5mg Tablet,,,,Nausea,Indigestion,Diarrhea
565,altonil 5 tablet md,Melolay Tablet MD,,,,,Headache,Drowsiness,
566,azipro 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain
567,addphos granules,,,,,,Nausea,Diarrhea,
568,alkof ls syrup,Tucin D Junior Syrup,Zescoryl DX Syrup,Decoril DX 5mg/10mg/5mg Syrup,Snedex Syrup,Cortoux D Syrup,Nausea,Vomiting,Upset stomach
569,alsita 50mg tablet,Sitabite 50mg Tablet,Istavel 50mg Tablet,Sitared 50 Tablet,Sitapride 50mg Tablet,Sitaday 50 Tablet,Nasopharyngitis (inflammation of the throat and nasal passages),Headache,Hypoglycemia (low blood glucose level)
570,amlip 10 tablet,Aginal 10mg Tablet,Amodep 10mg Tablet,Lupidip 10mg Tablet,Amlokind 10mg Tablet,Amcard 10 Tablet,Headache,Fatigue,Nausea
571,apdrops kt 0.4 eye drops bak free,Kitmox-KTL Ophthalmic Solution,Moxidrop-KT Eye Drop,Moxzap KT Eye Drop Bak Free,Topomox-KT Eye Drop Preservative Free,Moxi 4G KT Eye Drop,Conjunctivitis,Reduced visual acuity,Dry eye
572,acimol forte 100mg/325mg/15mg tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain
573,acnetor ad gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnesol A Nano Gel,Skin peeling,Erythema (skin redness),Itching
574,atocor 40 tablet,Atorless 40mg Tablet,Atchol 40 Tablet,Lipikind 40 Tablet,Mactor 40 Tablet,Atorsave 40 Tablet,Dyspepsia,Abdominal pain,Indigestion
575,angicam 5mg tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea
576,aprezo 20 tablet,Apraize 20 Tablet,,,,,Diarrhea,Nausea,Vomiting
577,asthakind-dx syrup sugar free,Wytuss-DMR Syrup Mint Sugar Free,Dcrocof-DX Syrup Sugar Free,Broxino-DX Syrup Sugar Free,Imotus D Syrup,Brikuff-DX Syrup,Nausea,Vomiting,Loss of appetite
578,amitax 500mg injection,Megamika 500mg Injection,Amilab 500mg Injection,Acil 500mg Injection,Emica 500mg Injection,Mika Best 500mg Injection,Increased blood urea,"Injection site reactions (pain, swelling, redness)",
579,actibile 150 tablet,Fortibile 150 Tablet,Ursomax 150 Tablet,Ursocad 150 Tablet,Udigold 150 Tablet,Urdiogem 150 Tablet,Abdominal pain,Diarrhea,Hair loss
580,atorva gold 20 capsule,Atchol Gold 20 Capsule,Avas Gold 75mg/20mg/75mg Capsule,Lipitab Gold 20 Capsule,Atorfit CV Gold 20 Capsule,Lipikind-Plus 20 Capsule,Increased bleeding tendency,Abdominal pain,Indigestion
581,allercet cold syrup,Histacare Syrup,Zincold PD Syrup,Catarrh AF Syrup,Welminic Syrup Gluten Free,Solvin Cold AF Syrup,Vomiting,Headache,Restlessness
582,alzero m tablet,Montina-L Tablet,Lecope-M Tablet,Monticope Tablet,Levocet M Tablet,Ronycold-M Tablet,Nausea,Diarrhea,Dryness in mouth
583,azulix 1 mf forte tablet pr,Glimiprex MF Forte 1 Tablet PR,Duopil 1 Forte Tablet PR,Walaphage G 1 Forte Tablet PR,Glimestar-M1 Forte Tablet PR,Glimital-M1 Forte Tablet PR,Hypoglycemia (low blood glucose level),Headache,Nausea
584,azimax 250 tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain
585,aloja 25 tablet,,,,,,Headache,Hypoglycaemia (low blood sugar level) in combination with insulin or sulphonylurea,Nasopharyngitis (inflammation of the throat and nasal passages)
586,arbitel-ct 40 tablet,Newtel-CH 40 Tablet,Venpres-CH 40mg/12.5mg Tablet,Telmikind-CT 40 Tablet,Telvas-CT 40 Tablet,Macsart CH 40 Tablet,Dizziness,Back pain,Sinus infection
587,anthocyn-tx tablet,Texavil GH 250mg/50mg Tablet,Gluxi TX 250mg/50mg Tablet,Regnum-TX Tablet,,,Diarrhea,Nausea,Vomiting
588,actoid 25mg capsule,Bdace 25mg Capsule,Sentrane 25mg Capsule,Glacitret 25mg Capsule,Acitrin 25mg Capsule,Acitkon 25mg Capsule,Dryness in mouth,Skin peeling,Itching
